label_id,label_name,count
10,안타까움/실망,17465
0,불평/불만,16696
23,어이없음,15996
22,짜증,14930
6,화남/분노,12299
20,한심함,12201
12,의심/불신,11565
8,기대감,11197
28,즐거움/신남,10867
2,감동/감탄,10778
15,신기함/관심,10638
33,당황/난처,9996
42,기쁨,9967
1,환영/호의,9252
29,깨달음,8151
43,안심/신뢰,7929
31,증오/혐오,7684
41,불안/걱정,7541
40,행복,7473
39,놀람,7355
16,아껴주는,7173
3,지긋지긋,6386
24,없음,6344
9,우쭐댐/무시함,6002
38,불쌍함/연민,5451
13,뿌듯함,5229
34,경악,5193
4,고마움,5181
35,부담/안_내킴,4768
32,흐뭇함(귀여움/예쁨),4401
5,슬픔,4137
21,역겨움/징그러움,3864
7,존경,3854
14,편안/쾌적,3771
27,힘듦/지침,3769
37,재미없음,3691
19,절망,3652
11,비장함,3352
26,귀찮음,2428
17,부끄러움,2329
36,서러움,2031
25,패배/자기혐오,1581
18,공포/무서움,1194
30,죄책감,698
